model,train_scores,cv_scores
DummyClassifier,0.4218203920376843,0.4203602289438723
GaussianNB,0.9478412054476963,0.6074267604885109
KNeighborsClassifier,0.6952307095773557,0.2304143238159528
LinearSVC,0.9957173447537474,0.6139516311166531
SVC,0.9306069876026406,
LogisticRegression,0.9612913336467638,
DecisionTreeClassifier,0.995859530746818,0.5586362282688973
RandomForestClassifier,0.9958658704639411,0.5598753888148682
ExtraTreesClassifier,0.995859530746818,0.5732974649270683
MLPClassifier,0.9955596386464555,0.6299626413678338
MultinomialNB,0.8820960698689957,0.6915426184531768